<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRRR.US,D,20240112,000000,13.2,13.2,12.38,12.47,172057,0
BRRR.US,D,20240116,000000,12.24,12.36,11.99,12.2868,239223,0
BRRR.US,D,20240117,000000,12.17,12.18,12,12.16,63387,0
BRRR.US,D,20240118,000000,12.07,12.16,11.57,11.59,122428,0
BRRR.US,D,20240119,000000,11.7,11.96,11.45,11.82,278071,0
BRRR.US,D,20240122,000000,11.6,11.61,11.1999,11.41,363764,0
BRRR.US,D,20240123,000000,11.03,11.23,10.94,11.12,70488,0
BRRR.US,D,20240124,000000,11.36,11.42,11.22,11.23,122144,0
BRRR.US,D,20240125,000000,11.37,11.39,11.24,11.31,47463,0
BRRR.US,D,20240126,000000,11.69,11.98,11.68,11.92,145366,0
BRRR.US,D,20240129,000000,11.93,12.2885,11.8599,12.25,295416,0
BRRR.US,D,20240130,000000,12.32,12.4,12.28,12.36,161392,0
BRRR.US,D,20240131,000000,12.12,12.4,12.05,12.06,121322,0
BRRR.US,D,20240201,000000,12,12.265,12,12.19,131682,0
BRRR.US,D,20240202,000000,12.11,12.32,12.09,12.18,270860,0
BRRR.US,D,20240205,000000,12.29,12.3099,11.99,12.02,153662,0
BRRR.US,D,20240206,000000,12.15,12.31,12.15,12.2203,223485,0
BRRR.US,D,20240207,000000,12.24,12.56,12.19,12.5168,294711,0
BRRR.US,D,20240208,000000,12.8,12.949,12.77,12.9079,154458,0
BRRR.US,D,20240209,000000,13.34,13.69,13.3,13.4835,354487,0
BRRR.US,D,20240212,000000,13.69,14.31,13.69,14.2503,313116,0
BRRR.US,D,20240213,000000,13.92,14.05,13.7301,14.0208,109834,0
BRRR.US,D,20240214,000000,14.7,14.78,14.5399,14.6808,162596,0
BRRR.US,D,20240215,000000,14.91,15,14.65,14.69,296909,0
BRRR.US,D,20240216,000000,14.84,14.8736,14.66,14.72,95915,0
BRRR.US,D,20240220,000000,14.85,14.85,14.3905,14.76,345483,0
BRRR.US,D,20240221,000000,14.46,14.59,14.37,14.46,241306,0
BRRR.US,D,20240222,000000,14.51,14.77,14.47,14.75,210940,0
