<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
USE.US,D,20230505,000000,30.9295,30.9295,30.785,30.8434,3368,0
USE.US,D,20230508,000000,31.42,31.54,31.4078,31.4078,894,0
USE.US,D,20230509,000000,31.23,31.595,31.1,31.595,500,0
USE.US,D,20230510,000000,31.13,31.24,31.04,31.2079,1500,0
USE.US,D,20230511,000000,30.64,30.7579,30.62,30.7579,508,0
USE.US,D,20230512,000000,30.5647,30.5647,30.5647,30.5647,89,0
USE.US,D,20230515,000000,31.0917,31.1,31.02,31.0703,1623,0
USE.US,D,20230516,000000,31.17,31.17,30.9299,30.9299,400,0
USE.US,D,20230517,000000,31.11,31.7146,31.09,31.7146,805,0
USE.US,D,20230518,000000,31.69,31.71,31.69,31.71,300,0
USE.US,D,20230519,000000,31.6,31.6191,31.6,31.6191,136,0
USE.US,D,20230522,000000,31.5144,31.5144,31.5144,31.5144,7,0
USE.US,D,20230523,000000,31.8154,31.8154,31.8154,31.8154,7,0
USE.US,D,20230524,000000,32.2883,32.2883,32.2883,32.2883,5,0
USE.US,D,20230525,000000,31.5663,31.5663,31.5663,31.5663,2,0
USE.US,D,20230526,000000,31.81,31.8987,31.81,31.8987,100,0
USE.US,D,20230530,000000,30.5943,30.5943,30.5943,30.5943,107,0
USE.US,D,20230531,000000,29.7933,29.7933,29.7933,29.7933,119,0
USE.US,D,20230601,000000,30.36,30.36,30.36,30.36,22,0
USE.US,D,20230602,000000,31.221,31.2249,31.221,31.2249,150,0
USE.US,D,20230605,000000,31.3249,31.3249,31.3249,31.3249,7,0
USE.US,D,20230606,000000,31.2755,31.2755,31.2755,31.2755,105,0
USE.US,D,20230607,000000,31.7565,31.7565,31.7565,31.7565,107,0
USE.US,D,20230608,000000,31.2401,31.2401,31.2401,31.2401,45,0
USE.US,D,20230609,000000,30.858,30.858,30.858,30.858,45,0
USE.US,D,20230612,000000,29.6698,29.6698,29.6698,29.6698,101,0
USE.US,D,20230613,000000,30.44,30.44,30.4076,30.4076,317,0
USE.US,D,20230614,000000,30.3138,30.3138,30.3138,30.3138,2,0
USE.US,D,20230615,000000,31,31.2134,30.9787,31.2134,400,0
USE.US,D,20230616,000000,31.6105,31.6105,31.6105,31.6105,2,0
USE.US,D,20230620,000000,31.8664,31.8664,31.8664,31.8664,2,0
USE.US,D,20230621,000000,31.9823,31.9823,31.9823,31.9823,2,0
USE.US,D,20230622,000000,30.7316,30.7316,30.7316,30.7316,100,0
USE.US,D,20230623,000000,30.2657,30.2657,30.2657,30.2657,100,0
USE.US,D,20230626,000000,30.1679,30.1679,30.1679,30.1679,100,0
USE.US,D,20230627,000000,29.8,29.8,29.6231,29.6231,517,0
USE.US,D,20230628,000000,29.77,30.6653,29.77,30.6653,100,0
USE.US,D,20230629,000000,30.82,30.82,30.81,30.81,100,0
USE.US,D,20230630,000000,30.89,30.96,30.89,30.96,400,0
USE.US,D,20230703,000000,31.0446,31.0446,31.0446,31.0446,1,0
USE.US,D,20230705,000000,31.52,31.86,31.52,31.86,334,0
USE.US,D,20230706,000000,31.76,31.9502,31.76,31.9502,120,0
USE.US,D,20230707,000000,32.8563,32.8563,32.8563,32.8563,100,0
USE.US,D,20230710,000000,32.42,32.43,32.4102,32.4102,389,0
USE.US,D,20230711,000000,32.73,32.8741,32.73,32.8741,405,0
USE.US,D,20230712,000000,33.35,33.5307,33.35,33.5307,104,0
USE.US,D,20230713,000000,34.206,34.206,34.206,34.206,100,0
USE.US,D,20230714,000000,33.65,33.6719,33.5435,33.5435,838,0
USE.US,D,20230717,000000,33.1184,33.1184,33.1184,33.1184,100,0
USE.US,D,20230718,000000,33.5143,33.5143,33.5143,33.5143,100,0
USE.US,D,20230719,000000,33.67,33.67,33.3694,33.3694,2336,0
USE.US,D,20230720,000000,33.319,33.319,33.319,33.319,41,0
USE.US,D,20230721,000000,33.7386,33.7386,33.7386,33.7386,11,0
USE.US,D,20230724,000000,34.4686,34.4686,34.4686,34.4686,41,0
USE.US,D,20230725,000000,34.35,34.54,34.35,34.4502,2104,0
USE.US,D,20230726,000000,34.4248,34.4248,34.4248,34.4248,41,0
USE.US,D,20230727,000000,34.9726,34.9726,34.9726,34.9726,3,0
USE.US,D,20230728,000000,35.093,35.093,35.093,35.093,2,0
USE.US,D,20230731,000000,35.57,35.59,35.57,35.59,1005,0
USE.US,D,20230801,000000,35.67,35.67,35.67,35.67,446,0
USE.US,D,20230802,000000,35.3574,35.3574,35.3574,35.3574,29,0
USE.US,D,20230803,000000,35.6779,35.6779,35.6779,35.6779,20,0
USE.US,D,20230804,000000,35.835,35.835,35.835,35.835,41,0
USE.US,D,20230807,000000,35.4053,35.4053,35.4053,35.4053,30,0
USE.US,D,20230808,000000,35.3823,35.3823,35.3823,35.3823,11,0
USE.US,D,20230809,000000,35.3118,35.3118,35.3118,35.3118,68,0
USE.US,D,20230810,000000,35.3003,35.3003,35.3003,35.3003,66,0
USE.US,D,20230811,000000,35.2352,35.2352,35.2352,35.2352,18,0
USE.US,D,20230814,000000,35.0417,35.0417,35.0417,35.0417,12,0
USE.US,D,20230815,000000,34.8266,34.8266,34.8266,34.8266,10,0
USE.US,D,20230816,000000,34.551,34.551,34.551,34.551,88,0
USE.US,D,20230817,000000,34.7145,34.7145,34.7145,34.7145,10,0
USE.US,D,20230818,000000,35.1684,35.1684,35.1684,35.1684,77,0
USE.US,D,20230821,000000,35.04,35.04,35,35.0327,1912,0
USE.US,D,20230822,000000,35.1692,35.1692,35.1692,35.1692,80,0
USE.US,D,20230823,000000,34.8,35.0091,34.8,35.0091,805,0
USE.US,D,20230824,000000,34.9705,34.9705,34.9705,34.9705,77,0
USE.US,D,20230825,000000,35.2002,35.2002,35.2002,35.2002,77,0
USE.US,D,20230828,000000,34.93,34.9926,34.89,34.9926,600,0
USE.US,D,20230829,000000,34.945,34.945,34.945,34.945,1,0
USE.US,D,20230830,000000,34.7479,34.7479,34.7479,34.7479,1,0
USE.US,D,20230831,000000,35.3918,35.3918,35.3918,35.3918,7,0
